School Name,Tier_x,Overall_Score,Tier_y,Overall Score,Student Performance 75 points,"Family, Community, & Culture 10 points",Teacher & Learning 7.5 Points,Leadership & Collaboration 7.5 Points,Drop-Out Rate,ELA Achievement Gap,ELA Growth,ELA Growth - High-Performing Students,ELA Growth - Low-Performing Students,ELA Growth - Subgroups,English Learner Growth,Graduate in 4 Years,Graduate in 5 Years,Math Achievement Gap,Math Growth,Math Growth - High-Performing Students,Math Growth - Low-Performing Students,Math Growth - Subgroups,School Meets ELA MCAS Goals,School Meets ELA MCAS Goals - Subgroups,School Meets Math MCAS Goals,School Meets Math MCAS Goals - Subgroups,School Meets Science MCAS Goals,Students Set Goals and Persist,Students in College after Graduation,College and Career Readiness,Rigorous Curriculum,School has Effective Leadership,Teacher Effectiveness,Leadership Engages the Community,Leadership Supports Teachers,Rate of Returning Teachers,Staff Collaboration and Community,Challenging Academic Environment,Chronic Absenteeism,Family Engagement,Inclusive of Families and Community,Safety,Staff Diversity,Student Engagement and Enthusiasm,Suspensions,Welcomed and Involved Families
William E. Carter School,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald McKay K-8 School,1.0,70,1.0,70.0,53.8,7.1,4.1,4.9,,,75.0,75.0,75.0,87.5,75.0,,,,75.0,100.0,75.0,50.0,50.0,25.0,100.0,50.0,75.0,50.0,,,62.5,37.5,62.5,62.5,62.5,75.0,62.5,62.5,100.0,100.0,62.5,75.0,50.0,50.0,62.5,75.0
Fenway High School,1.0,69,1.0,69.0,52.1,8.1,4.7,4.5,,,50.0,,,50.0,100.0,50.0,95.8,,100.0,,,100.0,100.0,87.5,100.0,62.5,,75.0,50.0,75.0,75.0,25.0,75.0,37.5,37.5,100.0,62.5,75.0,100.0,100.0,75.0,75.0,100.0,75.0,50.0,81.3
David A. Ellis Elementary School,1.0,67,1.0,67.0,48.1,7.8,5.3,5.4,,,75.0,,,75.0,75.0,,,,50.0,,,50.0,100.0,87.5,50.0,25.0,50.0,75.0,,,62.5,87.5,62.5,75.0,75.0,75.0,62.5,62.5,100.0,87.5,70.8,56.3,100.0,75.0,,75.0
F. Lyman Winship Elementary School,2.0,63,2.0,63.0,42.4,8.2,5.6,7.0,,,75.0,75.0,50.0,75.0,100.0,,,,50.0,50.0,75.0,62.5,50.0,12.5,75.0,75.0,,75.0,,,75.0,75.0,75.0,100.0,100.0,75.0,100.0,75.0,100.0,100.0,79.2,75.0,62.5,75.0,,87.5
George H. Conley Elementary School,2.0,60,2.0,60.0,40.4,7.2,6.6,6.1,,,75.0,,,,,,,100.0,50.0,,,,50.0,25.0,100.0,,,75.0,,,87.5,87.5,87.5,100.0,100.0,50.0,75.0,87.5,,87.5,83.3,75.0,87.5,75.0,,81.3
Dennis C. Haley Elementary School,2.0,59,2.0,59.0,42.0,6.2,5.0,5.9,,,50.0,50.0,50.0,56.3,100.0,,,25.0,75.0,75.0,50.0,62.5,25.0,,100.0,50.0,100.0,62.5,,,62.5,75.0,62.5,75.0,75.0,87.5,75.0,62.5,100.0,75.0,58.3,62.5,62.5,62.5,12.5,62.5
East Boston High School,2.0,59,2.0,59.0,40.5,6.3,4.7,7.0,,,54.4,100.0,75.0,52.2,75.0,50.0,85.7,,86.8,,91.2,86.8,17.6,13.2,8.8,11.0,4.4,50.0,50.0,50.0,50.0,100.0,50.0,100.0,100.0,75.0,100.0,50.0,33.8,100.0,66.7,62.5,50.0,50.0,75.0,81.3
Edward M. Kennedy Academy for Health Careers,2.0,58,2.0,58.0,39.9,7.5,4.7,5.9,100.0,,50.0,,50.0,50.0,75.0,100.0,100.0,,75.0,,75.0,87.5,,,,25.0,,50.0,,50.0,75.0,62.5,62.5,75.0,75.0,87.5,75.0,75.0,100.0,100.0,66.7,62.5,100.0,50.0,50.0,68.8
Franklin D. Roosevelt Elementary School,2.0,55,2.0,55.0,40.5,6.9,3.8,4.0,,75.0,50.0,50.0,50.0,50.0,75.0,,,100.0,50.0,50.0,50.0,66.7,50.0,41.7,50.0,25.0,50.0,50.0,,,50.0,50.0,50.0,37.5,37.5,75.0,62.5,50.0,100.0,100.0,75.0,62.5,87.5,50.0,12.5,87.5
Gardner Pilot Academy,3.0,55,3.0,55.0,38.8,6.4,4.4,4.9,,,50.0,50.0,50.0,50.0,50.0,,,75.0,75.0,75.0,50.0,58.3,,,50.0,50.0,50.0,50.0,,,62.5,50.0,62.5,62.5,75.0,75.0,50.0,62.5,,100.0,79.2,56.3,87.5,50.0,62.5,81.3
"Dearborn Science, Technology, Engineering and Mathematics Academy",3.0,50,3.0,50.0,32.2,5.9,5.2,6.6,,,50.0,,50.0,54.5,50.0,60.0,95.0,,65.9,,50.0,61.4,31.8,9.1,18.2,9.1,,50.0,,75.0,50.0,100.0,50.0,100.0,100.0,75.0,75.0,50.0,18.2,75.0,70.8,50.0,75.0,62.5,50.0,75.0
