Outcome,Metric,School_Name,Score
Academic Growth,ELA Growth - High-Performing Students,Joseph J. Hurley K-8 School,75
Academic Growth,ELA Growth - High-Performing Students,John Eliot K-8 School,75
Academic Growth,Math Growth - High-Performing Students,Higginson (K-2) / Higginson/Lewis K-8,-
Academic Growth,Math Growth - High-Performing Students,Horace Mann School for the Deaf & Hard of Hearing,-
Academic Growth,Math Growth - High-Performing Students,Hugh R. O'Donnell Elementary School,-
Academic Growth,Math Growth - High-Performing Students,Joseph P. Tynan Elementary School,-
Academic Growth,Math Growth - High-Performing Students,John Winthrop Elementary School,-
Academic Growth,Math Growth - High-Performing Students,Henry Grew Elementary School,-
Academic Growth,Math Growth - High-Performing Students,James J. Chittick Elementary School,-
Academic Growth,Math Growth - High-Performing Students,Joseph Lee K-8 School,-
Academic Growth,Math Growth - High-Performing Students,James W. Hennigan Elementary School,-
Academic Growth,Math Growth - High-Performing Students,James F. Condon K-8 School,25
Academic Growth,Math Growth - High-Performing Students,Josiah Quincy Upper School,50
Academic Growth,Math Growth - High-Performing Students,Harvard-Kent Elementary School,50
Academic Growth,Math Growth - High-Performing Students,James Otis Elementary School,100
Academic Growth,Math Growth - High-Performing Students,John F. Kennedy Elementary School,100
Academic Growth,Math Growth - High-Performing Students,John D. O'Bryant School of Mathematics and Science,100
Academic Growth,Math Growth - High-Performing Students,Joseph J. Hurley K-8 School,75
Academic Growth,Math Growth - High-Performing Students,Joyce Kilmer K-8 School,75
Academic Growth,Math Growth - High-Performing Students,Josiah Quincy Elementary School,75
Academic Growth,Math Growth - High-Performing Students,Joseph P. Manning Elementary School,75
Academic Growth,Math Growth - High-Performing Students,John Eliot K-8 School,75
Academic Growth,ELA Growth - Low-Performing Students,Joseph P. Manning Elementary School,-
Academic Growth,ELA Growth - Low-Performing Students,Horace Mann School for the Deaf & Hard of Hearing,-
Academic Growth,ELA Growth - Low-Performing Students,Henry Grew Elementary School,-
Academic Growth,ELA Growth - Low-Performing Students,Hugh R. O'Donnell Elementary School,-
Academic Growth,ELA Growth - Low-Performing Students,James J. Chittick Elementary School,-
Academic Growth,ELA Growth - Low-Performing Students,Joseph P. Tynan Elementary School,-
Academic Growth,ELA Growth - Low-Performing Students,Joseph Lee K-8 School,25
Academic Growth,ELA Growth - Low-Performing Students,John F. Kennedy Elementary School,50
Academic Growth,ELA Growth - Low-Performing Students,Harvard-Kent Elementary School,50
Academic Growth,ELA Growth - Low-Performing Students,Joseph J. Hurley K-8 School,50
Academic Growth,ELA Growth - Low-Performing Students,Josiah Quincy Upper School,50
Academic Growth,ELA Growth - Low-Performing Students,Joyce Kilmer K-8 School,50
Academic Growth,ELA Growth - Low-Performing Students,John Eliot K-8 School,50
Academic Growth,ELA Growth - Low-Performing Students,James F. Condon K-8 School,50
Academic Growth,ELA Growth - Low-Performing Students,John Winthrop Elementary School,75
Academic Growth,ELA Growth - Low-Performing Students,John D. O'Bryant School of Mathematics and Science,75
Academic Growth,ELA Growth - Low-Performing Students,James Otis Elementary School,75
Academic Growth,ELA Growth - Low-Performing Students,James W. Hennigan Elementary School,75
Academic Growth,ELA Growth - Low-Performing Students,Higginson (K-2) / Higginson/Lewis K-8,75
Academic Growth,ELA Growth - Low-Performing Students,Josiah Quincy Elementary School,75
Academic Growth,Math Growth - Low-Performing Students,Joseph P. Manning Elementary School,-
Academic Growth,Math Growth - Low-Performing Students,Henry Grew Elementary School,-
Academic Growth,Math Growth - Low-Performing Students,Hugh R. O'Donnell Elementary School,-
Academic Growth,Math Growth - Low-Performing Students,Horace Mann School for the Deaf & Hard of Hearing,-
Academic Growth,Math Growth - Low-Performing Students,James J. Chittick Elementary School,-
Academic Growth,Math Growth - Low-Performing Students,Joseph P. Tynan Elementary School,-
Academic Growth,Math Growth - Low-Performing Students,Joseph Lee K-8 School,50
Academic Growth,Math Growth - Low-Performing Students,John F. Kennedy Elementary School,50
Academic Growth,Math Growth - Low-Performing Students,Harvard-Kent Elementary School,50
